Unnamed: 0,Metric,Median,Standard Deviation,Source_File
0,Distance (km),1928.0,157.96,30_ex_9.csv
1,Execution Time (s),0.31,1.42,30_ex_9.csv
0,Distance (km),1949.0,165.37,30_ex_11.csv
1,Execution Time (s),0.3,0.29,30_ex_11.csv
0,Distance (km),799.0,78.91,15_ex_7.csv
1,Execution Time (s),0.08,0.2,15_ex_7.csv
0,Distance (km),2792.0,53.68,50_ex_16.csv
1,Execution Time (s),1.05,1.45,50_ex_16.csv
0,Distance (km),2467.0,66.59,50_ex_15.csv
1,Execution Time (s),0.97,0.07,50_ex_15.csv
0,Distance (km),1725.0,189.36,30_ex_12.csv
1,Execution Time (s),0.33,1.23,30_ex_12.csv
0,Distance (km),747.0,106.16,15_ex_8.csv
1,Execution Time (s),0.1,1.29,15_ex_8.csv
0,Distance (km),2893.0,153.98,50_ex_14.csv
1,Execution Time (s),0.9,1.8,50_ex_14.csv
0,Distance (km),823.0,40.58,15_ex_6.csv
1,Execution Time (s),0.37,0.65,15_ex_6.csv
0,Distance (km),886.0,43.79,15_ex_5.csv
1,Execution Time (s),0.12,0.12,15_ex_5.csv
0,Distance (km),593.0,53.81,10_ex_4.csv
1,Execution Time (s),0.06,0.23,10_ex_4.csv
0,Distance (km),1553.0,154.58,30_ex_10.csv
1,Execution Time (s),0.38,2.02,30_ex_10.csv
0,Distance (km),514.0,43.76,10_ex_1.csv
1,Execution Time (s),0.06,0.12,10_ex_1.csv
0,Distance (km),648.0,59.2,10_ex_3.csv
1,Execution Time (s),0.05,0.0,10_ex_3.csv
0,Distance (km),453.0,25.35,10_ex_2.csv
1,Execution Time (s),0.12,0.48,10_ex_2.csv
0,Distance (km),2428.0,103.26,50_ex_13.csv
1,Execution Time (s),0.9,1.0,50_ex_13.csv
